,ZIP,year,lesshigh,high_school,Somecollege,Bachelor_degree,olderthan250lessthan9,olderthan2509to12,olderthan250highschool,olderthan250somecollege0nodegree,olderthan250associate_degree,olderthan250bachelor_degree,olderthan250graduate_degree,poverty,population,female,male
0,15226,2017,13.8,28.1,46.8,11.3,1.9,5.6,34.5,16.9,10.1,20.3,10.7,9.8,13632,6885,6747
1,15232,2017,0.4,7.4,28.3,63.9,1.1,1.2,6.7,5.4,2.1,37,46.5,19.8,11252,6063,5189
2,15233,2017,6.7,55.9,31.6,5.8,4.3,8.8,35.2,22.7,7.6,15.2,6.1,15.8,4537,1250,3287
3,15236,2017,7.1,35,40.1,17.7,2.4,2.2,31.4,18.1,11.6,21.1,13.2,6.4,29236,15670,13566
4,15321,2017,11.1,35.4,32.6,20.8,0,5.9,31.9,21,9.7,21.2,10.3,4.3,1451,725,726
5,15290,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15275,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15261,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,15243,2017,8.2,29.1,28.4,34.3,1.4,2,18.5,11.2,6.7,31.9,28.4,3.8,13320,7197,6123
9,15241,2017,14.5,31.4,33.9,20.3,0.8,1,11.7,11.3,6.3,36.2,32.7,2.8,20712,10410,10302
10,15239,2017,12,31.8,37.3,18.9,1.2,3.5,31.9,19.2,12.1,22,10.1,5,20860,10668,10192
11,15017,2017,5.6,41.8,39.8,12.7,1.9,3.6,29.8,15.7,7.6,26.8,14.5,6.5,16883,9051,7832
12,15057,2017,8.6,44.4,34.7,12.3,2,5.1,32.1,13.2,9.3,25.5,12.7,5,15470,7731,7739
13,15120,2017,4.7,40.9,38.1,16.3,1.3,4.7,37.1,19.9,12.6,16.2,8.2,15.2,18372,9449,8923
14,15234,2017,2.6,39.6,33.6,24.3,2,3.8,32.4,17.3,10.4,24.1,9.9,10.1,13660,6800,6860
15,15225,2017,15.4,33.3,28.2,23.1,1.4,8.5,38.4,13.3,18.5,15,4.9,13.4,1096,522,574
16,15224,2017,4.6,28.3,31.2,35.9,2.1,4.6,27,15.9,6.9,25,18.6,22.4,10723,5725,4998
17,15222,2017,0.8,29.2,59.1,10.9,0.2,0.4,8,10.5,5.5,32.6,42.7,12.3,4700,2422,2278
18,15219,2017,6.2,23.8,61.6,8.4,2.9,11.5,34.5,21.3,8.4,11.2,10.3,36.5,16514,8396,8118
19,15218,2017,18,32.2,23.5,26.3,1.7,2.9,23.3,14.2,8.9,22.8,26.1,12.1,13623,7323,6300
20,15214,2017,15,29.5,42,13.4,1.7,6.8,34.5,17.2,10.5,18.4,10.9,22,13855,7049,6806
21,15213,2017,0.6,18.8,68,12.5,2.8,3.6,14.7,12.5,5,27.4,34.1,54.4,28265,15042,13223
22,15212,2017,12.9,37.7,34.6,14.8,3,6.2,31.8,16.6,9.2,19.9,13.3,20.6,26634,13496,13138
23,15211,2017,4.2,14.5,41.5,39.8,1.5,4.8,27.2,17,8.5,26.9,14.1,16,10804,5224,5580
24,15210,2017,19.2,41,32.3,7.4,3.4,8.6,40.9,19.7,11.1,10.7,5.7,22.1,26169,13273,12896
25,15209,2017,11.6,40,33.6,14.8,0.9,5.3,34.7,19.2,11.7,16.6,11.6,11.9,12225,5872,6353
